decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
1960,1968,The Beatles,Revolution 9 - Remastered 2009,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",502013,The Beatles - Revolution 9 - Remastered 2009,25164,0.101,0.769,0.208,0.615,0,0.118,2,0.824,-15.297,0,46,0.342,91.158,5dZ8PeKKZJLIQAWNTdp8WX
1960,1969,The Beatles,I Want You (She's So Heavy) - Remastered 2009,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",467320,The Beatles - I Want You (She's So Heavy) - Remastered 2009,25472,0.42,0.0233,0.37,0.515,0,0.205,2,0.0966,-9.487,0,61,0.0321,115.732,3Z25k4ZF6QENy2d9YatsM5
1970,1973,The Beatles,Hey Jude - Remastered 2009,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",431333,The Beatles - Hey Jude - Remastered 2009,26756,0.668,0.028,0.402,0.552,0,0.0000136,10,0.0929,-10.158,1,66,0.0258,145.164,3m7V717IKZqZLW5qUIOxdD
1980,1988,The Beatles,Hey Jude - Remastered 2009,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",429933,The Beatles - Hey Jude - Remastered 2009,32209,0.649,0.0293,0.399,0.573,0,0.0000283,10,0.0914,-9.44,1,44,0.0253,147.114,2iGtdYI4lI0jDpnxJOqZRw
2000,2000,The Beatles,Hey Jude - Remastered 2015,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",425653,The Beatles - Hey Jude - Remastered 2015,36843,0.532,0.0112,0.386,0.607,0,0.0000138,10,0.088,-7.7,1,76,0.0261,147.207,0aym2LBJBk9DAYuHHutrIl
1960,1969,The Beatles,It's All Too Much - Remastered 2009,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",385013,The Beatles - It's All Too Much - Remastered 2009,25220,0.199,0.000043,0.39,0.781,0,0.412,7,0.1,-7.878,1,42,0.0364,113.511,2bQZ9BBhP7vSBiyDz7KXnv
1960,1967,The Beatles,A Day In The Life - Remastered 2009,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",337413,The Beatles - A Day In The Life - Remastered 2009,24624,0.175,0.29,0.364,0.457,0,0.000106,4,0.922,-14.162,0,66,0.0675,163.219,0hKRSZhUGEhKU6aNSPBACZ
1960,1967,The Beatles,Within You Without You - Take 1 / Indian Instruments,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",333400,The Beatles - Within You Without You - Take 1 / Indian Instruments,24624,0.175,0.676,0.376,0.391,0,0.205,5,0.152,-13.214,1,29,0.0398,120.234,2EVjL6ljSRdzvHvFgCXS7K
1960,1967,The Beatles,Within You Without You - Take 1 / Indian Instruments,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",332560,The Beatles - Within You Without You - Take 1 / Indian Instruments,24618,0.184,0.699,0.383,0.432,0,0.177,5,0.133,-10.98,1,25,0.0409,120.037,4GKAZbOP8bx93464aL0hk9
1960,1967,The Beatles,A Day In The Life - Remix,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",330920,The Beatles - A Day In The Life - Remix,24624,0.107,0.258,0.338,0.47,0,0.000205,4,0.889,-10.636,0,42,0.0552,80.724,5V3HOUIcQTAdUmzHPcfb6F
1960,1967,The Beatles,A Day In The Life - Remix,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",330907,The Beatles - A Day In The Life - Remix,24618,0.121,0.268,0.377,0.453,0,0.000141,4,0.901,-10.455,0,48,0.0462,79.935,18qhv7DD1sEpgWffovGnhn
