acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
79.7,33.2,39.4,2.10E-03,17.9,20.5639682,3.14,44.4287239,36.9
96.6,31.1,10.5,0,12,33.4109882,2.97,37.7169886,70
74.9,47.4,22,6.08E-04,15.4,25.6309454,2.62,41.4357772,36.1
65.8,62.3,33.3,0.689,26.1,29.290429,3.04,46.4995082,51.3
97.3,19.1,13.8,0.286,8.54,30.7205721,3.35,32.4389376,13.6
86.3,55.5,24.5,0,24.8,24.2525723,2.4,38.5910128,23.4
87.8,34.6,10.5,0,73.8,44.3036951,7.79,47.3078131,37.8
89.7,62.3,49.2,0,9.4,13.8274122,4.6,60.6684945,67.6
58.9,61.7,81.5,0.0366,12.3,17.0452339,4.1,35.5976475,96.4
78.8,51.3,11.3,0,10,22.3629716,3.54,58.8664476,26.8
79.8,86.2,48.4,0.0996,10.5,21.0234259,4.21,44.3014714,78.7
90.4,49.6,27.2,0,10.8,20.6464764,3.17,47.7280814,17.5
71.7,47.7,33.8,5.77E-03,33.3,21.6365754,2.7,29.1165575,46
82.3,44.4,36.7,0,11.1,21.2466835,6.59,57.7998702,59.7
47.8,41.4,64.8,0.24,21.5,18.9477771,16.1,75.4863015,82.2
74.6,65.8,54.5,0,21.1,20.5170517,12.6,48.7825195,95
87.2,29.3,56.7,0.212,44,15.3966867,3.94,61.2649909,66.9
95.6,15.6,15.1,69,12.9,31.6411053,3.52,33.4791436,10.3
79.3,69.2,62.2,0.021,14.9,23.0100951,5.18,50.0667657,79
58.6,58.7,55.2,1.07E-03,53.7,17.6891219,4.07,50.339689,32
80.1,71,67.3,1.94E-04,8.46,18.0822494,4.45,51.3606396,67
70.1,40.4,84.6,0,43.4,10.5804698,5.61,48.0826304,72.3
96.6,38.1,8.12,0.233,10.8,23.9516599,3.38,27.9972373,10.5
69.5,41.9,67.5,0.032,7.62,11.814858,7.76,84.1206388,65
96.4,28,19.5,39.5,12.7,33.7296965,4.57,47.6431068,7.48
76.2,64.5,35.8,1.15E-04,19.2,19.0836731,39.9,52.2225245,67.7
88.9,70.1,28.2,94.8,19.2,32.1313014,2.81,38.8903075,86.7
95.7,66.4,22.7,90.4,12.1,25.6066783,4.92,38.6458486,46.4
