acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,decade
0.511,['Elton John'],0.436,380667,0.429,0,2AgMTn4RyRrI1uc3iXx4Xq,0.000103,3,0.10400000000000001,-10.884,1,My Father's Gun,29,10/30/1970,0.0319,119.025,0.223,1970,1970.0
0.465,['Three Dog Night'],0.629,166707,0.376,0,2hKxnhi2Eb3443AQbOnqNl,0.0,7,0.235,-13.934000000000001,1,It Ain't Easy,26,1/1/1970,0.0337,76.848,0.34700000000000003,1970,1970.0
0.166,['Martha Reeves & The Vandellas'],0.41700000000000004,176573,0.753,0,2nxSAQBvF6gDIwZmG6B9nO,0.0,9,0.26899999999999996,-10.204,0,I Should Be Proud,33,1970,0.126,178.408,0.794,1970,1970.0
0.99,['Vashti Bunyan'],0.6,141893,0.107,0,2vNuzzaFEPY2WGdYFhdeui,0.0114,0,0.10099999999999999,-19.189,0,Where I Like To Stand,26,1970,0.0525,117.63,0.732,1970,1970.0
0.639,['Ry Cooder'],0.568,134067,0.434,0,439kdOcVhEp5gQ67eYNkKG,0.626,7,0.22899999999999998,-14.17,1,Available Space,35,1/1/1970,0.0379,147.388,0.6940000000000001,1970,1970.0
0.43700000000000006,['Willie Dixon'],0.45899999999999996,399430,0.248,0,4iKp3icJChjTFQBYbydH43,0.106,7,0.271,-16.475,1,"I Can't Quit You, Baby",35,1970,0.0365,84.969,0.418,1970,1970.0
0.102,['The Meters'],0.612,194560,0.623,0,5uKJvTRphvrXIIFgxgMWNI,0.26,9,0.32299999999999995,-12.776,1,Chicken Strut,29,1970,0.247,100.99600000000001,0.757,1970,1970.0
0.654,['Dave Mason'],0.48100000000000004,182927,0.33,0,5xab2UKCrgMhbNWjLq08gq,0.006940000000000001,2,0.23199999999999998,-18.307000000000002,1,"Can't Stop Worrying, Can't Stop Loving",25,1/1/1970,0.0429,156.797,0.6759999999999999,1970,1970.0
0.0431,['James Gang'],0.627,278400,0.812,0,0OgWuPs6lyCnnLUw1INrdQ,0.18600000000000003,2,0.153,-7.444,1,Woman,27,1/1/1970,0.0341,114.223,0.9520000000000001,1970,1970.0
0.573,['Van Morrison'],0.593,109800,0.0992,0,2Jq8mmOqBh1Raf6vi3nQZk,4.17e-06,9,0.39299999999999996,-31.984,0,What Do We Call This Van? - 2013 Remaster,30,1970-02,0.522,84.132,0.39399999999999996,1970,1970.0
0.0357,['The Fabulous Thunderbirds'],0.568,200773,0.8140000000000001,0,4I4vAytEiKVIHsJS0LfCWW,0.000875,4,0.461,-6.646,1,Tuff Enuff,27,1970,0.0425,116.22399999999999,0.677,1970,1970.0
0.7909999999999999,['Shuggie Otis'],0.439,255947,0.37,0,55mwnnVCq90cdzFro3UFGZ,0.259,7,0.35100000000000003,-13.632,1,Gospel Groove,34,1970,0.0548,96.265,0.39899999999999997,1970,1970.0
0.99,['Vashti Bunyan'],0.473,84173,0.192,0,5h0utZzfAq2MnosewDuRaT,0.76,0,0.138,-16.474,1,Lily Pond,26,1970,0.0446,156.418,0.919,1970,1970.0
0.062,['Deep Purple'],0.305,256093,0.6920000000000001,0,6nt9Sx2NEOYDO23MO4UCIC,0.135,4,0.0599,-12.341,0,Bloodsucker,27,6/3/1970,0.0535,88.256,0.8590000000000001,1970,1970.0
0.418,['Bob & Marcia'],0.6459999999999999,188853,0.45399999999999996,0,21YtaaAivXcpcFaYbTjgKP,0.000532,0,0.353,-10.821,1,To Be Young Gifted and Black,41,1/1/1970,0.0308,117.125,0.922,1970,1970.0
0.0212,['King Crimson'],0.196,1399860,0.251,0,2NJirbzL4zisT8kAM8s3VY,0.574,5,0.451,-14.922,1,Lizard (Prince Rupert Awakes/Bolero/The Battle of Glass Tears/Big Top),34,1970,0.0386,81.557,0.0789,1970,1970.0
0.488,['The Jackson 5'],0.401,174400,0.5529999999999999,0,3xT66Sjqd94kkx1ehJHQ3H,1.13e-05,6,0.44299999999999995,-11.882,1,La La (Means I Love You),25,5/8/1970,0.055,170.202,0.652,1970,1970.0
0.722,['Shuggie Otis'],0.568,132560,0.348,0,3zbWu0mY4d8QyTkPkz9Gvi,0.0036299999999999995,10,0.0732,-13.808,1,Jennie Lee,32,1970,0.0278,75.66,0.40700000000000003,1970,1970.0
0.84,['Roberto Luti'],0.526,158387,0.501,0,5FD1IZKwXVSL3zGwlNvLoF,0.0,0,0.139,-8.088,1,Celoso,39,8/28/1970,0.0367,113.546,0.762,1970,1970.0
0.629,['Aretha Franklin'],0.7959999999999999,158200,0.555,0,5ryGpLshVg4CFM42WEDzcd,1.36e-06,2,0.134,-9.537,1,Eleanor Rigby,32,1/15/1970,0.055,124.508,0.96,1970,1970.0
0.95,['Elton John'],0.423,286293,0.111,0,0Q3YxRlzru7yKT0Rwjv5xM,1.7199999999999998e-05,7,0.136,-13.218,0,First Episode At Hienton,32,4/10/1970,0.0328,131.692,0.131,1970,1970.0
0.5539999999999999,['Willie Dixon'],0.47700000000000004,215203,0.29,0,3knwd2whi9QUViKgWCsixF,0.17800000000000002,4,0.28300000000000003,-18.066,1,The Little Red Rooster,35,1970,0.0374,122.589,0.727,1970,1970.0
0.313,['The Meters'],0.725,162707,0.609,0,5Fc1cPt3MjSXQlVysvMgQM,0.861,7,0.0536,-13.585999999999999,1,Liver Splash,29,1970,0.0539,110.1,0.578,1970,1970.0
0.39299999999999996,['Chicago'],0.317,395160,0.715,0,5eJkszoTWVjtXKAzvbkAc1,0.547,2,0.0422,-5.537999999999999,1,In the Country - 2002 Remaster,28,1/26/1970,0.053,175.408,0.569,1970,1970.0
0.35,['Van Morrison'],0.593,272160,0.46799999999999997,0,6lk0kAlqXJfs8Ryxrb0vD6,3.52e-05,7,0.0919,-11.165,1,And It Stoned Me - 2013 Remaster,28,1970-02,0.0285,75.798,0.597,1970,1970.0
0.376,['Led Zeppelin'],0.39899999999999997,222356,0.46299999999999997,0,6loU3J22nyqnGkPvqxSUPo,0.0841,5,0.174,-13.789000000000001,1,Hats off To (Roy) Harper - Remaster,29,10/5/1970,0.0592,115.85,0.278,1970,1970.0
0.647,['Kris Kristofferson'],0.419,202067,0.152,0,7tKThAWCTqEaksY09wViaq,0.00021400000000000002,0,0.161,-15.269,1,For the Good Times,24,1/1/1970,0.027999999999999997,87.669,0.39799999999999996,1970,1970.0
0.18,['Jimmy Cliff'],0.6659999999999999,168933,0.42200000000000004,0,0odALYQ2EfLc5A1oVh8OVA,1.99e-06,11,0.265,-15.987,1,Hello Sunshine,25,1970,0.076,169.09099999999998,0.904,1970,1970.0
0.9790000000000001,"['Tomaso Albinoni', 'Claudio Scimone', 'I Solisti Veneti', 'Pierre Pierlot']",0.26899999999999996,366147,0.196,0,2r0CvuZxyVVpElFjN2yTab,0.8809999999999999,10,0.133,-17.923,1,"Albinoni: Oboe Concerto No. 2 in D Minor, Op. 9: II. Adagio",38,1970,0.0436,70.446,0.0753,1970,1970.0
0.00557,['The Velvet Underground'],0.647,195347,0.539,0,3XWHY4VhsoaaZLbtkc30ok,0.0,2,0.317,-8.753,1,Sweet Jane - Mono; 2015 Remaster,29,1970,0.0361,106.24600000000001,0.915,1970,1970.0
0.594,['Elvis Presley'],0.415,150560,0.61,0,5eK22bi2XORGVMTHPWlSTZ,0.000586,5,0.35,-8.972999999999999,0,You Don't Have to Say You Love Me,38,11/1/1970,0.0472,115.171,0.662,1970,1970.0
0.9079999999999999,['Dionne Warwick'],0.691,179040,0.157,0,5o5fCEeIGC8igGmbXQZL8Q,7.39e-06,1,0.0898,-13.710999999999999,1,Raindrops Keep Falling on My Head,36,1970,0.0475,89.844,0.37799999999999995,1970,1970.0
0.0105,['Grand Funk Railroad'],0.456,209493,0.843,0,0FFIleakWHp8j90BxTtF0D,0.000233,4,0.0535,-7.721,1,Aimless Lady - Remastered,32,1970,0.125,135.217,0.932,1970,1970.0
0.39399999999999996,['Van Morrison'],0.439,353920,0.528,0,11RTqOn7Mm0LDQHiqi4EFD,0.016,7,0.0976,-14.054,1,Caravan - Take 1,29,1970-02,0.0536,153.85,0.581,1970,1970.0
0.532,['Curtis Mayfield'],0.561,196467,0.7070000000000001,0,20EEUzuosrE77u9EoL0SGi,0.0,0,0.19,-6.562,1,Wild and Free,32,1970,0.0502,109.07700000000001,0.605,1970,1970.0
0.688,['Bob Dylan'],0.589,177853,0.22399999999999998,0,23cMvOOt9IlfxQINoFifXA,0.000126,7,0.094,-14.014000000000001,1,Alberta #1,30,6/8/1970,0.0305,84.81,0.599,1970,1970.0
0.55,['Donny Hathaway'],0.41600000000000004,228013,0.429,0,2USPHdk6yeyJ8K3QltMPka,0.000128,9,0.168,-8.789,1,I Believe to My Soul,32,1/1/1970,0.0559,176.468,0.807,1970,1970.0
