artists,decade,year,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
Francisco Canaro,1920,1928,Pájaro Azul - Instrumental (Remasterizado),"tango, vintage tango",303493,Francisco Canaro - Pájaro Azul - Instrumental (Remasterizado),1928,0.3,0.986,0.613,0.187,0,0.804,1,0.111,-13.959000000000001,1,0,0.255,116.325,6sHTmkp6k8genhaEHK5NxF
Francisco Canaro,1920,1928,Corazón de Oro - Instrumental (Remasterizado),"tango, vintage tango",288493,Francisco Canaro - Corazón de Oro - Instrumental (Remasterizado),1928,0.496,0.993,0.501,0.285,0,0.9129999999999999,1,0.131,-14.341,1,0,0.415,172.305,4H3EcSBoedy0pNySHgdRqW
Francisco Canaro,1920,1928,Vieja Milonga - Instrumental (Remasterizado),"tango, vintage tango",226000,Francisco Canaro - Vieja Milonga - Instrumental (Remasterizado),1928,0.68,0.9940000000000001,0.8009999999999999,0.158,0,0.85,0,0.11699999999999999,-10.597000000000001,1,0,0.0854,117.141,18DgJv2wqsihfyQaUGZ58f
Francisco Canaro,1920,1929,Varoncito - Instrumental (Remasterizado),"tango, vintage tango",225280,Francisco Canaro - Varoncito - Instrumental (Remasterizado),1929,0.78,0.968,0.612,0.315,0,0.34299999999999997,2,0.10300000000000001,-5.7139999999999995,1,0,0.0775,114.139,6BgD8QlsB2icene3Vntt0n
Francisco Canaro,1920,1929,Labios de Coty - Instrumental (Remasterizado),"tango, vintage tango",219533,Francisco Canaro - Labios de Coty - Instrumental (Remasterizado),1929,0.485,0.951,0.4,0.486,0,0.696,5,0.214,-10.363,1,0,0.11900000000000001,140.762,2qtriREoWcaozHrnXP3lxt
Francisco Canaro,1920,1929,Rancho Embrujado - Instrumental (Remasterizado),"tango, vintage tango",218000,Francisco Canaro - Rancho Embrujado - Instrumental (Remasterizado),1929,0.652,0.991,0.684,0.261,0,0.7,7,0.276,-8.782,1,0,0.0727,115.77799999999999,5ju176L3QcAO49I19k1FYp
Francisco Canaro,1920,1928,Belcha - Instrumental (Remasterizado),"tango, vintage tango",215493,Francisco Canaro - Belcha - Instrumental (Remasterizado),1928,0.7979999999999999,0.992,0.7340000000000001,0.267,0,0.8,5,0.11599999999999999,-9.941,0,0,0.0498,118.056,3l9g5nSAqohFAk9uB9Ra60
Francisco Canaro,1920,1929,Oración - Instrumental (Remasterizado),"tango, vintage tango",214320,Francisco Canaro - Oración - Instrumental (Remasterizado),1929,0.62,0.9940000000000001,0.501,0.214,0,0.624,6,0.0959,-13.887,0,0,0.134,172.87599999999995,5AiHDa6JCVQuqfarnJOwAc
Francisco Canaro,1920,1929,Oración,"tango, vintage tango",214320,Francisco Canaro - Oración,1929,0.62,0.9940000000000001,0.501,0.214,0,0.624,6,0.0959,-13.887,0,0,0.134,172.87599999999995,4STNtzIwymrBS4tNwentwK
Francisco Canaro,1920,1929,Bells of Hawaii - Instrumental (Remasterizado),"tango, vintage tango",211507,Francisco Canaro - Bells of Hawaii - Instrumental (Remasterizado),1929,0.48,0.993,0.47600000000000003,0.128,0,0.9490000000000001,6,0.109,-18.377,1,0,0.0357,70.37100000000002,6QvJuI8Ah8fhNPzi7dIzwS
Francisco Canaro,1920,1929,Ultimo Adios - Instrumental (Remasterizado),"tango, vintage tango",211440,Francisco Canaro - Ultimo Adios - Instrumental (Remasterizado),1929,0.8240000000000001,0.9940000000000001,0.537,0.325,0,0.0389,4,0.15,-7.444,1,0,0.0774,118.65,5pVqtRRKG0mJjsaN90vd3I
