decade,year,artists,name,genres,duration_ms,artist_song,release_date,valence,acousticness,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,id
2020,2020,"Maverick City Music, Joe L Barnes, Naomi Raine",Promises,,646239,"Maverick City Music, Joe L Barnes, Naomi Raine - Promises",2020-04-17,0.23800000000000002,0.28300000000000003,0.361,0.423,0,6.38e-05,10,0.0942,-11.697000000000001,1,67,0.0375,114.66,0aZFEiDKLK2B4gzPaGCZVm
2020,2020,"Kari Jobe, Cody Carnes, Elevation Worship",The Blessing - Live,,514665,"Kari Jobe, Cody Carnes, Elevation Worship - The Blessing - Live",2020-03-20,0.19699999999999998,0.0407,0.41100000000000003,0.562,0,0.0,11,0.222,-8.152000000000001,1,67,0.0362,140.015,2elEVvWjPZltkotzcCwKvM
2020,2020,Blue-Room,Touch Pads,,473375,Blue-Room - Touch Pads,2020-01-03,0.325,5.12e-05,0.805,0.955,0,0.9540000000000001,11,0.0397,-6.7479999999999976,0,0,0.0442,126.014,4pXKgyciWoRFiUbik3fwhm
2020,2020,"Daddy Yankee, De La Ghetto, Farruko, Ñengo Flow, Arcangel, Baby Rasta & Gringo, Kyza, Kendo",Llegamos A La Disco,,453467,"Daddy Yankee, De La Ghetto, Farruko, Ñengo Flow, Arcangel, Baby Rasta & Gringo, Kyza, Kendo - Llegamos A La Disco",2020-11-20,0.7859999999999999,0.107,0.722,0.79,0,0.0,0,0.475,-4.89,1,1,0.258,88.99,49HwcMICwU6D2yLi7agjWQ
2020,2020,"Elevation Worship, Brandon Lake",Graves Into Gardens (Live),,452499,"Elevation Worship, Brandon Lake - Graves Into Gardens (Live)",2020-03-13,0.14,0.00346,0.391,0.769,0,0.0,11,0.9109999999999999,-6.356,1,66,0.045,139.874,0pNizrRmvu5S16fH6ccm0v
2020,2020,Blue-Room,El Libertador,,434521,Blue-Room - El Libertador,2020-01-03,0.616,0.0008550000000000001,0.745,0.973,0,0.904,1,0.081,-7.655,1,0,0.0561,124.014,6Vn0dEgkM5TZ1UMLggNDFq
2020,2020,Blue-Room,Duck,,424500,Blue-Room - Duck,2020-01-03,0.48200000000000004,0.00137,0.8079999999999999,0.9990000000000001,0,0.963,11,0.0338,-7.904,0,0,0.068,127.01700000000001,6MjgmsdmxmXFLlEIRr4WND
2020,2020,"Kari Jobe, Cody Carnes",The Blessing,,423193,"Kari Jobe, Cody Carnes - The Blessing",2020-05-22,0.187,0.121,0.3670000000000001,0.46299999999999997,0,1.04e-05,11,0.0983,-7.638,1,64,0.0335,139.996,2lIB1TU0Cqnc6RuYDjc92z
2020,2020,"Anuel AA, Kendo Kaponi, Yandel, Ñengo Flow",Antes y Después,,414820,"Anuel AA, Kendo Kaponi, Yandel, Ñengo Flow - Antes y Después",2020-05-29,0.5329999999999999,0.171,0.732,0.634,1,0.0,1,0.204,-5.5870000000000015,1,72,0.36,173.886,0YbXuCsQwrsh5x0hgnED6z
2020,2020,"Russ, Black Thought, Benny The Butcher",Momentum (feat. Black Thought & Benny The Butcher),,402226,"Russ, Black Thought, Benny The Butcher - Momentum (feat. Black Thought & Benny The Butcher)",2020-11-17,0.868,0.0943,0.615,0.838,1,0.0,8,0.295,-5.082,0,62,0.247,88.68,4E8eWaFyMHBIS2y6ggz0D6
